question,context,true_answers,predicted_answer
فرانسه از نظر بزرگی چندمین کشور بزرگ اروپا است؟,فرانسه (به فرانسوی: La France) با عنوان رسمی جمهوری فرانسه (به فرانسوی: République française) یکی از کشورهای اروپای غربی است که دارای منطقه‌ها و قلمروهای زیادی در آنسوی دریاهاست. فرانسه یکی از سه کشوری است که سواحلی هم در دریای مدیترانه و هم در اقیانوس اطلس دارد (دو کشور دیگر عبارتند از اسپانیا و مراکش). به دلیل شکل نقشهٔ این کشور، در زبان فرانسوی به آن لقب l’Hexagone (معنی: شش‌ضلعی) داده‌اند. فرانسه از جنوب با آندورا و اسپانیا، از شرق با ایتالیا و سوئیس و آلمان و لوکزامبورگ و بلژیک، از جنوب با موناکو مرز زمینی دارد. همچنین از طریق کانال مانش با انگلستان هم‌مرز است. بر پایه مساحت، فرانسه بزرگ‌ترین کشور اروپای غربی و اتحادیه اروپا و همچنین سومین کشور بزرگ در کل قاره اروپا به‌شمار می‌آید. جمعیت فرانسه فراتر از ۶۵/۲ میلیون تَن است که با این شمار، فرانسه در رتبه دومین کشور پرجمعیت پس از آلمان در اتحادیه اروپا قرار می‌گیرد. پایتخت فرانسه، شهر پاریس است. این شهر بزرگ‌ترین شهر این کشور و مرکز اصلی تجارت و فرهنگ فرانسه است. قانون اساسی فرانسه برپایه یک همه‌پرسی در ۴ اکتبر ۱۹۵۸ به رسمیت رسیده‌است. این قانون تأکید بر ایجاد کشوری سکولار و دموکرات دارد که مردم در آن، حق حاکمیت را ایجاد می‌کنند. اعلامیهٔ حقوق انسان و شهروند که در انقلاب فرانسه تدوین شد,"['سومین کشور بزرگ در کل قاره اروپا به\u200cشمار می\u200cآید', 'سومین کشور بزرگ']",سومین
فرانسه از نظرجمعیت چندمین کشور بزرگ اروپا است؟,فرانسه (به فرانسوی: La France) با عنوان رسمی جمهوری فرانسه (به فرانسوی: République française) یکی از کشورهای اروپای غربی است که دارای منطقه‌ها و قلمروهای زیادی در آنسوی دریاهاست. فرانسه یکی از سه کشوری است که سواحلی هم در دریای مدیترانه و هم در اقیانوس اطلس دارد (دو کشور دیگر عبارتند از اسپانیا و مراکش). به دلیل شکل نقشهٔ این کشور، در زبان فرانسوی به آن لقب l’Hexagone (معنی: شش‌ضلعی) داده‌اند. فرانسه از جنوب با آندورا و اسپانیا، از شرق با ایتالیا و سوئیس و آلمان و لوکزامبورگ و بلژیک، از جنوب با موناکو مرز زمینی دارد. همچنین از طریق کانال مانش با انگلستان هم‌مرز است. بر پایه مساحت، فرانسه بزرگ‌ترین کشور اروپای غربی و اتحادیه اروپا و همچنین سومین کشور بزرگ در کل قاره اروپا به‌شمار می‌آید. جمعیت فرانسه فراتر از ۶۵/۲ میلیون تَن است که با این شمار، فرانسه در رتبه دومین کشور پرجمعیت پس از آلمان در اتحادیه اروپا قرار می‌گیرد. پایتخت فرانسه، شهر پاریس است. این شهر بزرگ‌ترین شهر این کشور و مرکز اصلی تجارت و فرهنگ فرانسه است. قانون اساسی فرانسه برپایه یک همه‌پرسی در ۴ اکتبر ۱۹۵۸ به رسمیت رسیده‌است. این قانون تأکید بر ایجاد کشوری سکولار و دموکرات دارد که مردم در آن، حق حاکمیت را ایجاد می‌کنند. اعلامیهٔ حقوق انسان و شهروند که در انقلاب فرانسه تدوین شد,"['دومین کشور پرجمعیت', 'دومین کشور']",سومین
در هند کدام رشته کوه قرار دارد؟,هند یا هندوستان با نام رسمی جمهوری هندوستان (هندی: भारत गणराज्य؛ تلفظ: بْهَارَتْ گَنَرَاجْیَه) کشوری در جنوب آسیا است که بخش گسترده‌ای از شبه قاره هند را شامل می‌شود و پایتخت آن دهلی نو می‌باشد. هند از شمال غربی با پاکستان؛ از شمال با چین، بوتان، نپال و تبت؛ و از شمال شرقی با میانمار و بنگلادش همسایه‌است. همچنین هند از خاور با خلیج بنگال، از باختر با دریای عمان، و از جنوب نیز با اقیانوس هند مرز آبی دارد. پهناوری هند ۳٬۲۸۷٬۲۶۳ کیلومتر مربع (هفتم در جهان) است. بیشتر سرزمین هند پست و هموار است و رشته‌کوه هیمالیا که در شمال کشور قرار دارد باعث شده‌است که رطوبت و ابرهای باران‌زا به شمال آسیا نفوذ نکند و در نتیجه هند کشوری پرباران و مرطوب و دارای خاک بسیار حاصلخیز است. این موضوع باعث شده‌است که این کشور بتواند جمعیّت بسیاری را در خود جای دهد. جمعیت هند ۱٬۳۶۵٬۳۸۰٬۰۰۰ نفر است که دومین کشور پرجمعیت دنیا پس از چین به‌شمار می‌آید. بندر بمبئی (مومبائی) با جمعیتی نزدیک به ۱۴ میلیون نفر، پرجمعیت‌ترین شهر هند است. هند بیش از سی و پنج شهر بزرگ با جمعیت بالای یک میلیون نفر دارد.,"['رشته\u200cکوه هیمالیا', 'رشته\u200cکوه هیمالیا']",رشته‌کوه هیمالیا که در شمال کشور قرار دارد
هند از لحاظ جمعیت چندمین کشور دنیا است؟,هند یا هندوستان با نام رسمی جمهوری هندوستان (هندی: भारत गणराज्य؛ تلفظ: بْهَارَتْ گَنَرَاجْیَه) کشوری در جنوب آسیا است که بخش گسترده‌ای از شبه قاره هند را شامل می‌شود و پایتخت آن دهلی نو می‌باشد. هند از شمال غربی با پاکستان؛ از شمال با چین، بوتان، نپال و تبت؛ و از شمال شرقی با میانمار و بنگلادش همسایه‌است. همچنین هند از خاور با خلیج بنگال، از باختر با دریای عمان، و از جنوب نیز با اقیانوس هند مرز آبی دارد. پهناوری هند ۳٬۲۸۷٬۲۶۳ کیلومتر مربع (هفتم در جهان) است. بیشتر سرزمین هند پست و هموار است و رشته‌کوه هیمالیا که در شمال کشور قرار دارد باعث شده‌است که رطوبت و ابرهای باران‌زا به شمال آسیا نفوذ نکند و در نتیجه هند کشوری پرباران و مرطوب و دارای خاک بسیار حاصلخیز است. این موضوع باعث شده‌است که این کشور بتواند جمعیّت بسیاری را در خود جای دهد. جمعیت هند ۱٬۳۶۵٬۳۸۰٬۰۰۰ نفر است که دومین کشور پرجمعیت دنیا پس از چین به‌شمار می‌آید. بندر بمبئی (مومبائی) با جمعیتی نزدیک به ۱۴ میلیون نفر، پرجمعیت‌ترین شهر هند است. هند بیش از سی و پنج شهر بزرگ با جمعیت بالای یک میلیون نفر دارد.,"['دومین کشور پرجمعیت دنیا', 'دومین کشور']",دومین کشور پرجمعیت دنیا پس از چین به‌شمار می‌آید.
یونان چه نوع کشوری محسوب می شود؟,"یونان (به یونانی: Ελλάδα, اِلادا) با نام رسمی جمهوری یونان (به یونانی: Ελληνική Δημοκρατία, اِلينيك ديموكراتيا) کشوری اوراسیایی واقع در جنوب شرقی اروپا و جنوب شبه جزیره بالکان است. این کشور همچنین جزایری در ساحل آسیای صغیر مانند رودس، جزیره کوس، ساموس، خیوس و لسبوس دارد و یک کشور اوراسیایی محسوب می‌شود. این کشور از شمال با آلبانی، مقدونیه شمالی و بلغارستان و از شرق با ترکیه دارای مرز مشترک زمینی است. سرزمین اصلی یونان در جنوب و شرق به وسیله دریای مدیترانه احاطه شده و از غرب به دریای یونان نزدیک است. پایتخت و بزرگترین شهر این کشور آتن و زبان رسمی آن یونانی است. یونان کشوری با ۱۰ میلیون نفر جمعیت و ۱۳۱٬۹۹۰ مساحت است. یونان دارای تاریخی بسیار طولانی و درخشان در عرصه جهانی است. این کشور به عنوان مهد تمدن مغرب زمین و زادبوم دموکراسی، فلسفه غرب، بازی‌های المپیک، علوم سیاسی، نمایشنامه‌نویسی «شامل هر دو نوع کمدی و تراژدی» قابل توجه است. یونان دارای تاریخی ویژه و پرحادثه و دارنده میراث فرهنگی است که به‌طور قابل توجهی دارای نفوذ در آفریقای شمالی و منطقه خاورمیانه است و ساختاری بنیادی برای فرهنگ اروپا و آنچه امروز به عنوان غرب خوانده می‌شود، به حساب می‌آید.","['یک کشور اوراسیایی محسوب می\u200cشود', 'اوراسیایی']",کشوری اوراسیایی
تاریخ یونان چه جوری است؟,"یونان (به یونانی: Ελλάδα, اِلادا) با نام رسمی جمهوری یونان (به یونانی: Ελληνική Δημοκρατία, اِلينيك ديموكراتيا) کشوری اوراسیایی واقع در جنوب شرقی اروپا و جنوب شبه جزیره بالکان است. این کشور همچنین جزایری در ساحل آسیای صغیر مانند رودس، جزیره کوس، ساموس، خیوس و لسبوس دارد و یک کشور اوراسیایی محسوب می‌شود. این کشور از شمال با آلبانی، مقدونیه شمالی و بلغارستان و از شرق با ترکیه دارای مرز مشترک زمینی است. سرزمین اصلی یونان در جنوب و شرق به وسیله دریای مدیترانه احاطه شده و از غرب به دریای یونان نزدیک است. پایتخت و بزرگترین شهر این کشور آتن و زبان رسمی آن یونانی است. یونان کشوری با ۱۰ میلیون نفر جمعیت و ۱۳۱٬۹۹۰ مساحت است. یونان دارای تاریخی بسیار طولانی و درخشان در عرصه جهانی است. این کشور به عنوان مهد تمدن مغرب زمین و زادبوم دموکراسی، فلسفه غرب، بازی‌های المپیک، علوم سیاسی، نمایشنامه‌نویسی «شامل هر دو نوع کمدی و تراژدی» قابل توجه است. یونان دارای تاریخی ویژه و پرحادثه و دارنده میراث فرهنگی است که به‌طور قابل توجهی دارای نفوذ در آفریقای شمالی و منطقه خاورمیانه است و ساختاری بنیادی برای فرهنگ اروپا و آنچه امروز به عنوان غرب خوانده می‌شود، به حساب می‌آید.","['بسیار طولانی و درخشان', 'بسیار طولانی و درخشان']",یونان دارای تاریخی بسیار طولانی و درخشان در عرصه جهانی است
یمن در کجا قرار دارد؟,یمن (‎/ˈjɛmən/‎</img> ‎/ˈjɛmən/‎ ; عربی: ٱلْیَمَن‎)، به‌شکل رسمی جمهوری یمن (عربی: ٱلْجُمْهُورِیَّةُ ٱلْیَمَنِیَّةُ‎) کشوری در انتهای جنوبی شبه جزیره عربستان در آسیای غربی است. این کشور ۵۲۷٬۹۷۰ کیلومتر مربع (۲۰۳٬۸۵۰ مایل مربع) دومین کشور مستقل عربی در شبه جزیره است. خط ساحلی آن حدود ۲٬۰۰۰ کیلومتر (۱٬۲۰۰ مایل) امتداد دارد. قانون اساسی یمن پایتخت کشور را شهر صنعا تعیین کرده‌است، اما این شهر از فوریه ۲۰۱۵ تحت کنترل شورشیان حوثی قرار دارد، همچنین شهر عدن نیز از سال ۲۰۱۸ توسط شورای انتقالی جنوب کنترل می‌شود. اداره اجرایی آن در ریاض، عربستان سعودی مستقر است. در دوران باستان، یمن محل زندگی سبائی‌ها بود، حاکمیتی تجاری که مرزهایش از اتیوپی تا اریتره امروزی می‌رسید. در سال ۲۷۵ م، بعداً پادشاهی حیماریت تحت تأثیر یهودیان قرار گرفت. مسیحیت در قرن چهارم سر رسید. اسلام به سرعت در قرن هفتم گسترش یافت و نیروهای یمنی در فتوحات اولیه اسلامی بسیار نقش حیاتی داشتند. چندین سلسله در سده‌های ۹ تا ۱۶ پدیدار شدند، مانند سلسله رسولید. این کشور در سالهای ۱۸۰۰ بین امپراتوریهای عثمانی و انگلیس تقسیم شد. پادشاهی زیدی متوکلی یمن پس از جنگ جهانی اول و قبل از ایجاد جمهوری عربی یمن در سال ۱۹۶۲ تأسیس گردید,"['در انتهای جنوبی شبه جزیره عربستان در آسیای غربی است', 'انتهای جنوبی شبه جزیره عربستان در آسیای غربی']",کشوری در انتهای جنوبی شبه جزیره عربستان در آسیای غربی است.
پادشاهی حیماریت تحت تأثیر چه کسانی بود؟,یمن (‎/ˈjɛmən/‎</img> ‎/ˈjɛmən/‎ ; عربی: ٱلْیَمَن‎)، به‌شکل رسمی جمهوری یمن (عربی: ٱلْجُمْهُورِیَّةُ ٱلْیَمَنِیَّةُ‎) کشوری در انتهای جنوبی شبه جزیره عربستان در آسیای غربی است. این کشور ۵۲۷٬۹۷۰ کیلومتر مربع (۲۰۳٬۸۵۰ مایل مربع) دومین کشور مستقل عربی در شبه جزیره است. خط ساحلی آن حدود ۲٬۰۰۰ کیلومتر (۱٬۲۰۰ مایل) امتداد دارد. قانون اساسی یمن پایتخت کشور را شهر صنعا تعیین کرده‌است، اما این شهر از فوریه ۲۰۱۵ تحت کنترل شورشیان حوثی قرار دارد، همچنین شهر عدن نیز از سال ۲۰۱۸ توسط شورای انتقالی جنوب کنترل می‌شود. اداره اجرایی آن در ریاض، عربستان سعودی مستقر است. در دوران باستان، یمن محل زندگی سبائی‌ها بود، حاکمیتی تجاری که مرزهایش از اتیوپی تا اریتره امروزی می‌رسید. در سال ۲۷۵ م، بعداً پادشاهی حیماریت تحت تأثیر یهودیان قرار گرفت. مسیحیت در قرن چهارم سر رسید. اسلام به سرعت در قرن هفتم گسترش یافت و نیروهای یمنی در فتوحات اولیه اسلامی بسیار نقش حیاتی داشتند. چندین سلسله در سده‌های ۹ تا ۱۶ پدیدار شدند، مانند سلسله رسولید. این کشور در سالهای ۱۸۰۰ بین امپراتوریهای عثمانی و انگلیس تقسیم شد. پادشاهی زیدی متوکلی یمن پس از جنگ جهانی اول و قبل از ایجاد جمهوری عربی یمن در سال ۱۹۶۲ تأسیس گردید,"['یهودیان', 'یهودیان']",یهودیان قرار گرفت.
برای یمن  در سالهای ۱۸۰۰ چه اتفاقی افتاد؟,یمن (‎/ˈjɛmən/‎</img> ‎/ˈjɛmən/‎ ; عربی: ٱلْیَمَن‎)، به‌شکل رسمی جمهوری یمن (عربی: ٱلْجُمْهُورِیَّةُ ٱلْیَمَنِیَّةُ‎) کشوری در انتهای جنوبی شبه جزیره عربستان در آسیای غربی است. این کشور ۵۲۷٬۹۷۰ کیلومتر مربع (۲۰۳٬۸۵۰ مایل مربع) دومین کشور مستقل عربی در شبه جزیره است. خط ساحلی آن حدود ۲٬۰۰۰ کیلومتر (۱٬۲۰۰ مایل) امتداد دارد. قانون اساسی یمن پایتخت کشور را شهر صنعا تعیین کرده‌است، اما این شهر از فوریه ۲۰۱۵ تحت کنترل شورشیان حوثی قرار دارد، همچنین شهر عدن نیز از سال ۲۰۱۸ توسط شورای انتقالی جنوب کنترل می‌شود. اداره اجرایی آن در ریاض، عربستان سعودی مستقر است. در دوران باستان، یمن محل زندگی سبائی‌ها بود، حاکمیتی تجاری که مرزهایش از اتیوپی تا اریتره امروزی می‌رسید. در سال ۲۷۵ م، بعداً پادشاهی حیماریت تحت تأثیر یهودیان قرار گرفت. مسیحیت در قرن چهارم سر رسید. اسلام به سرعت در قرن هفتم گسترش یافت و نیروهای یمنی در فتوحات اولیه اسلامی بسیار نقش حیاتی داشتند. چندین سلسله در سده‌های ۹ تا ۱۶ پدیدار شدند، مانند سلسله رسولید. این کشور در سالهای ۱۸۰۰ بین امپراتوریهای عثمانی و انگلیس تقسیم شد. پادشاهی زیدی متوکلی یمن پس از جنگ جهانی اول و قبل از ایجاد جمهوری عربی یمن در سال ۱۹۶۲ تأسیس گردید,"['بین امپراتوریهای عثمانی و انگلیس تقسیم شد', 'بین امپراتوریهای عثمانی و انگلیس تقسیم شد']",این کشور در سالهای ۱۸۰۰ بین امپراتوریهای عثمانی و انگلیس تقسیم شد.
پلاستیک چیه؟,پلاستیک به دسته‌ای از مواد مصنوعی یا نیمه مصنوعی گویند که از فرایند بسپارش بدست می‌آیند. پلاستیک‌ها دسته‌ای از بسپارهای افزایشی یا تراکمی هستند. پلاستیک جزو مواد مصنوعی است و به‌صورت طبیعی یافت نمی‌شود. پلاستیک‌ها را می‌توان به شکل‌های مختلف درآورد. اصولاً یکی از ویژگی‌های پلاستیک‌ها شکل‌پذیری خوب آن‌هاست. پلاستیک‌ها را می‌توان تحت فرایندهای گرمایی و مکانیکی به شکل‌های دیگر درآورد. نخستین پلاستیک تجارتی در ایالت متحده، نیترات سلولز بود که تولید آن به یک قرن پیش برمی‌گردد. این پلاستیک توسط gohn wesly hyatt تولید گردید تا جایگزین عاج فیل شود. پلاستیک‌ها خواص متعددی دارند که دیگر مواد ساختمانی از آن برخوردار نیستند. آن‌ها ضد رطوبت و در برابر فرسودگی مقاومند؛ علاوه بر آن وزنی سبک دارند. استحکام آن‌ها خوب است و به راحتی می‌توان آن‌ها را به اشکال پیچیده و گوناگون قالب ریزی نمود. بر اساس طبیعت محصول، پلاستیک‌ها ممکن است با فرایند متوالی یا غیر متوالی تولید شوند. برای ترموپلاستیک‌ها، اغلب فرایند دوبخشی مناسب‌ترین راه است که در آن مواد خام، که توسط تولیدکننده اولیه به صورت پودر یا گرانول تهیه شده‌است به روش اکستروژن یا تولید صفحه شکل می‌گیرند و سپس به محصول نهایی تغییر شکل می‌دهند.,"['به دسته\u200cای از مواد مصنوعی یا نیمه مصنوعی گویند که از فرایند بسپارش بدست می\u200cآیند.', 'پ']",دسته‌ای از مواد مصنوعی یا نیمه مصنوعی گویند که از فرایند بسپارش بدست می‌آیند.
خواص پلاستیک‌ها را بنویسید.,پلاستیک به دسته‌ای از مواد مصنوعی یا نیمه مصنوعی گویند که از فرایند بسپارش بدست می‌آیند. پلاستیک‌ها دسته‌ای از بسپارهای افزایشی یا تراکمی هستند. پلاستیک جزو مواد مصنوعی است و به‌صورت طبیعی یافت نمی‌شود. پلاستیک‌ها را می‌توان به شکل‌های مختلف درآورد. اصولاً یکی از ویژگی‌های پلاستیک‌ها شکل‌پذیری خوب آن‌هاست. پلاستیک‌ها را می‌توان تحت فرایندهای گرمایی و مکانیکی به شکل‌های دیگر درآورد. نخستین پلاستیک تجارتی در ایالت متحده، نیترات سلولز بود که تولید آن به یک قرن پیش برمی‌گردد. این پلاستیک توسط gohn wesly hyatt تولید گردید تا جایگزین عاج فیل شود. پلاستیک‌ها خواص متعددی دارند که دیگر مواد ساختمانی از آن برخوردار نیستند. آن‌ها ضد رطوبت و در برابر فرسودگی مقاومند؛ علاوه بر آن وزنی سبک دارند. استحکام آن‌ها خوب است و به راحتی می‌توان آن‌ها را به اشکال پیچیده و گوناگون قالب ریزی نمود. بر اساس طبیعت محصول، پلاستیک‌ها ممکن است با فرایند متوالی یا غیر متوالی تولید شوند. برای ترموپلاستیک‌ها، اغلب فرایند دوبخشی مناسب‌ترین راه است که در آن مواد خام، که توسط تولیدکننده اولیه به صورت پودر یا گرانول تهیه شده‌است به روش اکستروژن یا تولید صفحه شکل می‌گیرند و سپس به محصول نهایی تغییر شکل می‌دهند.,"['آن\u200cها ضد رطوبت و در برابر فرسودگی مقاومند؛ علاوه بر آن وزنی سبک دارند. استحکام آن\u200cها خوب است و به راحتی می\u200cتوان آن\u200cها را به اشکال پیچیده و گوناگون قالب ریزی نمود.', 'آن\u200cها ضد رطوبت و در برابر فرسودگی مقاومند؛ علاوه بر آن وزنی سبک دارند.']",آن‌ها ضد رطوبت و در برابر فرسودگی مقاومند
ویژگی خوب پلاستیک کدام است.,پلاستیک به دسته‌ای از مواد مصنوعی یا نیمه مصنوعی گویند که از فرایند بسپارش بدست می‌آیند. پلاستیک‌ها دسته‌ای از بسپارهای افزایشی یا تراکمی هستند. پلاستیک جزو مواد مصنوعی است و به‌صورت طبیعی یافت نمی‌شود. پلاستیک‌ها را می‌توان به شکل‌های مختلف درآورد. اصولاً یکی از ویژگی‌های پلاستیک‌ها شکل‌پذیری خوب آن‌هاست. پلاستیک‌ها را می‌توان تحت فرایندهای گرمایی و مکانیکی به شکل‌های دیگر درآورد. نخستین پلاستیک تجارتی در ایالت متحده، نیترات سلولز بود که تولید آن به یک قرن پیش برمی‌گردد. این پلاستیک توسط gohn wesly hyatt تولید گردید تا جایگزین عاج فیل شود. پلاستیک‌ها خواص متعددی دارند که دیگر مواد ساختمانی از آن برخوردار نیستند. آن‌ها ضد رطوبت و در برابر فرسودگی مقاومند؛ علاوه بر آن وزنی سبک دارند. استحکام آن‌ها خوب است و به راحتی می‌توان آن‌ها را به اشکال پیچیده و گوناگون قالب ریزی نمود. بر اساس طبیعت محصول، پلاستیک‌ها ممکن است با فرایند متوالی یا غیر متوالی تولید شوند. برای ترموپلاستیک‌ها، اغلب فرایند دوبخشی مناسب‌ترین راه است که در آن مواد خام، که توسط تولیدکننده اولیه به صورت پودر یا گرانول تهیه شده‌است به روش اکستروژن یا تولید صفحه شکل می‌گیرند و سپس به محصول نهایی تغییر شکل می‌دهند.,"['اصولاً یکی از ویژگی\u200cهای پلاستیک\u200cها شکل\u200cپذیری خوب آن\u200cهاست.', 'پلاستیک\u200cها را می\u200cتوان تحت فرایندهای گرمایی و مکانیکی به شکل\u200cهای دیگر درآورد.']",شکل‌پذیری خوب آن‌هاست.
روش تولید ترموپلاستیک‌ها را بنویسید؟,پلاستیک به دسته‌ای از مواد مصنوعی یا نیمه مصنوعی گویند که از فرایند بسپارش بدست می‌آیند. پلاستیک‌ها دسته‌ای از بسپارهای افزایشی یا تراکمی هستند. پلاستیک جزو مواد مصنوعی است و به‌صورت طبیعی یافت نمی‌شود. پلاستیک‌ها را می‌توان به شکل‌های مختلف درآورد. اصولاً یکی از ویژگی‌های پلاستیک‌ها شکل‌پذیری خوب آن‌هاست. پلاستیک‌ها را می‌توان تحت فرایندهای گرمایی و مکانیکی به شکل‌های دیگر درآورد. نخستین پلاستیک تجارتی در ایالت متحده، نیترات سلولز بود که تولید آن به یک قرن پیش برمی‌گردد. این پلاستیک توسط gohn wesly hyatt تولید گردید تا جایگزین عاج فیل شود. پلاستیک‌ها خواص متعددی دارند که دیگر مواد ساختمانی از آن برخوردار نیستند. آن‌ها ضد رطوبت و در برابر فرسودگی مقاومند؛ علاوه بر آن وزنی سبک دارند. استحکام آن‌ها خوب است و به راحتی می‌توان آن‌ها را به اشکال پیچیده و گوناگون قالب ریزی نمود. بر اساس طبیعت محصول، پلاستیک‌ها ممکن است با فرایند متوالی یا غیر متوالی تولید شوند. برای ترموپلاستیک‌ها، اغلب فرایند دوبخشی مناسب‌ترین راه است که در آن مواد خام، که توسط تولیدکننده اولیه به صورت پودر یا گرانول تهیه شده‌است به روش اکستروژن یا تولید صفحه شکل می‌گیرند و سپس به محصول نهایی تغییر شکل می‌دهند.,"['مواد خام، که توسط تولیدکننده اولیه به صورت پودر یا گرانول تهیه شده\u200cاست به روش اکستروژن یا تولید صفحه شکل می\u200cگیرند و سپس به محصول نهایی تغییر شکل می\u200cدهند.', 'اغلب فرایند دوبخشی مناسب\u200cترین راه است']",اکستروژن یا تولید صفحه شکل می‌گیرند و سپس به محصول نهایی تغییر شکل می‌دهند.
پلاستیک جزو چه موادی است؟,پلاستیک به دسته‌ای از مواد مصنوعی یا نیمه مصنوعی گویند که از فرایند بسپارش بدست می‌آیند. پلاستیک‌ها دسته‌ای از بسپارهای افزایشی یا تراکمی هستند. پلاستیک جزو مواد مصنوعی است و به‌صورت طبیعی یافت نمی‌شود. پلاستیک‌ها را می‌توان به شکل‌های مختلف درآورد. اصولاً یکی از ویژگی‌های پلاستیک‌ها شکل‌پذیری خوب آن‌هاست. پلاستیک‌ها را می‌توان تحت فرایندهای گرمایی و مکانیکی به شکل‌های دیگر درآورد. نخستین پلاستیک تجارتی در ایالت متحده، نیترات سلولز بود که تولید آن به یک قرن پیش برمی‌گردد. این پلاستیک توسط gohn wesly hyatt تولید گردید تا جایگزین عاج فیل شود. پلاستیک‌ها خواص متعددی دارند که دیگر مواد ساختمانی از آن برخوردار نیستند. آن‌ها ضد رطوبت و در برابر فرسودگی مقاومند؛ علاوه بر آن وزنی سبک دارند. استحکام آن‌ها خوب است و به راحتی می‌توان آن‌ها را به اشکال پیچیده و گوناگون قالب ریزی نمود. بر اساس طبیعت محصول، پلاستیک‌ها ممکن است با فرایند متوالی یا غیر متوالی تولید شوند. برای ترموپلاستیک‌ها، اغلب فرایند دوبخشی مناسب‌ترین راه است که در آن مواد خام، که توسط تولیدکننده اولیه به صورت پودر یا گرانول تهیه شده‌است به روش اکستروژن یا تولید صفحه شکل می‌گیرند و سپس به محصول نهایی تغییر شکل می‌دهند.,"['مواد مصنوعی است و به\u200cصورت طبیعی یافت نمی\u200cشود.', 'از مواد مصنوعی']",پلاستیک جزو مواد مصنوعی است و به‌صورت طبیعی یافت نمی‌شود.
پنبه چگونه بوجود می‌آید؟,پنبه (به انگلیسی: Cotton) یک نوع محصول کشاورزی است که از الیاف پوشانندهٔ دانهٔ گیاه پنبه (با نام علمی Gossypium) به دست می‌آید. پنبه تشکیل‌شده از الیافی نرم و پف‌دار است که درون کپسولی به دور تخم‌های گیاه پنبه می‌روید. این الیاف از سلولز تشکیل شده‌اند و به دلیل ویژگی پوشانندگی، می‌توانند تخم‌های گیاه را با خود به مناطق دور ببرند و به گسترش گیاه کمک کنند. این محصول که به دلیل مبادلات وسیع تجاری اش «طلای سفید» لقب گرفته است از اهمیت اقتصادی فراوانی برخوردار است. این گیاه در تولید نخ و پارچه به کار برده می‌شود. برای این منظور، الیاف آن را به شکل گسترده و رشته رشته درمی‌آورند تا دراز و پیچیده در هم شوند. نخ پدید آمده سپس برای تولید پارچه به کار گرفته می‌شود. اگرچه این روش از دیرباز تاکنون مرسوم بوده است، این تنها اختراع پنبه‌ریسی بود که هزینه تولید پارچه از این راه را پایین آورد و باعث بهره‌گیری گسترده از پنبه شد به گونه‌ای که امروزه پرکاربردترین الیاف به کار رفته در صنعت پوشاک است. علاوه بر صنعت نساجی، پنبه در تورهای ماهی‌گیری، فیلتر قهوه و چای، مواد منفجره (نیتروسلولز)، کاغذ و صحافی … استفاده می‌شود.,"['از الیافی نرم و پف\u200cدار است که درون کپسولی به دور تخم\u200cهای گیاه پنبه می\u200cروید.', 'از الیافی نرم و پف\u200cدار است']",به شکل گسترده و رشته رشته درمی‌آورند تا دراز و پیچیده در هم شوند.
چرا پنبه در صنعت پوشاک کاربرد بیشتری دارد؟,پنبه (به انگلیسی: Cotton) یک نوع محصول کشاورزی است که از الیاف پوشانندهٔ دانهٔ گیاه پنبه (با نام علمی Gossypium) به دست می‌آید. پنبه تشکیل‌شده از الیافی نرم و پف‌دار است که درون کپسولی به دور تخم‌های گیاه پنبه می‌روید. این الیاف از سلولز تشکیل شده‌اند و به دلیل ویژگی پوشانندگی، می‌توانند تخم‌های گیاه را با خود به مناطق دور ببرند و به گسترش گیاه کمک کنند. این محصول که به دلیل مبادلات وسیع تجاری اش «طلای سفید» لقب گرفته است از اهمیت اقتصادی فراوانی برخوردار است. این گیاه در تولید نخ و پارچه به کار برده می‌شود. برای این منظور، الیاف آن را به شکل گسترده و رشته رشته درمی‌آورند تا دراز و پیچیده در هم شوند. نخ پدید آمده سپس برای تولید پارچه به کار گرفته می‌شود. اگرچه این روش از دیرباز تاکنون مرسوم بوده است، این تنها اختراع پنبه‌ریسی بود که هزینه تولید پارچه از این راه را پایین آورد و باعث بهره‌گیری گسترده از پنبه شد به گونه‌ای که امروزه پرکاربردترین الیاف به کار رفته در صنعت پوشاک است. علاوه بر صنعت نساجی، پنبه در تورهای ماهی‌گیری، فیلتر قهوه و چای، مواد منفجره (نیتروسلولز)، کاغذ و صحافی … استفاده می‌شود.,"['اختراع پنبه\u200cریسی بود که هزینه تولید پارچه از این راه را پایین آورد و باعث بهره\u200cگیری گسترده از پنبه شد به گونه\u200cای که امروزه پرکاربردترین الیاف به کار رفته در صنعت پوشاک است.', 'اختراع پنبه\u200cریسی بود که هزینه تولید پارچه از این راه را پایین آورد']",هزینه تولید پارچه از این راه را پایین آورد
